id,publication_id,edition_id,title,author_creator,corporate_creators,contributors,description_abstract,date_period,year,type,place_of_publishing,publisher,format,extent,other_physical_description,call_number,language,general_note,subject_keywords,url_original_object
321836,349388,321836,Լիբանանը XVIII դարի վերջին և XIX դարի առաջին կեսին,"Նաջարյան, Եղիա Հովսեփի",ՀՍՍՀ ԳԱ Արևելագիտության ինստիտուտ,Պատ. Խմբ.՝ Ե. Ղ. Սարգսյան,Երևան,1985,1985,Գիրք,Երևան,ՀՍՍՀ ԳԱ հրատ․,pdf,380 էջ,,AII/72307 ; AII/72907,hy,,Պատմություն Լիբանան ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,https://arar.sci.am/dlibra/publication/349388/edition/321836
325933,353750,325933,Լիբանանյան ճգնաժամը և Լիբանանի հայ համայնքի դիրքորոշումը (1975-1982 թթ),"Հովհաննիսյան, Նիկոլայ Հովհաննեսի",,,Երևան,1982,1982,Գիրք,Երևան,Հայաստան,pdf,80 էջ,,AI/17219,hy,,ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ Լիբանանահայություն Պատմություն,https://arar.sci.am/dlibra/publication/353750/edition/325933
322656,350253,322656,Լուզինյան թագավորական տան հայ ժառանգները. (Հոդվածների ժողովածու),"Ստեփանյան, Հասմիկ",ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,Գլխ. խմբ.՝ Արմեն Տեր Ստեփանյան,Երևան,2016,2016,Գիրք,Երևան,ՀՀ ԳԱԱ «Գիտություն» հրատ.,pdf,216 էջ,նկ․,AII/101952,hy,,Աղբյուրագիտություն ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,https://arar.sci.am/dlibra/publication/350253/edition/322656
323217,350890,323217,Խաղաղության գործընթացը Մերձավոր Արևելքում. Ժամանակագրություն (1897-2001 թթ.),"Հովհաննիսյան, Արտակ Հ.",ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,Խմբ.՝ Ն. Հովհաննիսյան,Երևան,2002,2002,Գիրք,Երևան,,pdf,40 էջ,,AII/87091,hy,,ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ Քաղաքականություն Պատմություն,https://arar.sci.am/dlibra/publication/350890/edition/323217
323207,350859,323207,Խեթական տերությունը և Ախխիյավան (Տրոյական պատերազմը),"Քոսյան, Արամ Վաղարշակի","ՀՀ ԳԱԱ, Արևելագիտության ինստիտուտ",,Երևան,1997,1997,Գիրք,Երևան,,pdf,50 էջ,,AII/84139,hy,,ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ Պատմություն Տրոյական պատերազմ,https://arar.sci.am/dlibra/publication/350859/edition/323207
323202,350854,323202,Խորհրդա-թուրքական հարաբերությունները 1945-1947 թվականներին. սևծովյան նեղուցների խնդիրը և Հայկական հարցը,"Մելքոնյան, Քրիստինե",ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,Խմբ.՝ Մանվել Զուլալյան,Երևան,2009,2009,Գիրք,Երևան,Հեղինակային հրատ.,pdf,50 էջ,,AII/95163,hy,,ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ Միջազգային հարաբերություններ Պատմություն,https://arar.sci.am/dlibra/publication/350854/edition/323202
323181,350839,323181,"ԽՍՀՄ-Թուրքիա հարաբերությունները. Հայկական հարցը, սևծովյան նեղուցների խնդիրը և դաշնակից պետությունները (1945-1947 թթ.)","Մելքոնյան, Քրիստինե",ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,Պատ. խմբ.՝ Մանվել Զուլալյան ; Ռուբեն Սաֆրաստյան,Երևան,2013,2013,Գիրք,Երևան,Հեղինակային հրատ.,pdf,240 էջ,,AII/98967,hy,,Պատմություն Միջազգային հարաբերություններ ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,https://arar.sci.am/dlibra/publication/350839/edition/323181
322637,350246,322637,«Կարմելյանների տարեգրությունը»՝ որպես Իրանի 17-18-րդ դարերի պատմագիտական աղբյուր,"Մարտոյան, Թեհմինե",ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,,Երևան,2011,2011,Գիրք,Երևան,Լիմուշ հրատ.,pdf,142 էջ,նկ․,AII/100099 ; AII/106471,hy,,Հայոց պատմություն Պատմագրություն ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,https://arar.sci.am/dlibra/publication/350246/edition/322637
321787,349342,321787,Կիլիզա. Հայկական Քիլիս,"Պայրամեան, Ալիշան",ՀՀ ԳԱԱ Արեւելագիտութեան ինստիտուտ,,Երևան,2001,2001,Գիրք,Երևան,Զանգակ հրատ.,pdf,267 էջ,լուսանկ․,AII/86223 ; AII/86224,hy,,Հայոց պատմություն Մշակույթ Կրոն ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,https://arar.sci.am/dlibra/publication/349342/edition/321787
322638,350247,322638,Կիլիկյան Հայաստանը սահմանակից պետական միավորների ընկալումներում. (Պատմաբանասիրական ակնարկներ),"Բոզոյան, Ազատ Արտաշի",ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,Խմբ.՝ Ռ. Մ. Շուքուրով և ուրիշն.,Երևան,2016,2016,Գիրք,Երևան,ՀՀ ԳԱԱ «Գիտություն» հրատ.,pdf,309 էջ,,AII/101368,hy ; ru,,Հայոց պատմություն Կիլիկիա ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,https://arar.sci.am/dlibra/publication/350247/edition/322638
