id,publication_id,edition_id,title,author_creator,corporate_creators,contributors,description_abstract,date_period,year,type,place_of_publishing,publisher,format,extent,other_physical_description,call_number,language,general_note,subject_keywords,url_original_object
324722,352407,324722,"1980 թվականի ռազմական հեղաշրջումը Թուրքիայում. պատճառները, ընթացքը, հետևանքները","Դումանյան, Արթուր",ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ ; Երևանի Պետական համալսարան,Խմբ. Ռուբեն Սաֆրաստյան,Երևան,2016,2016,Գիրք,Երևան,ՎՄՎ-Պրինտ,pdf,156 էջ,,AII/102156,hy,,Պատմություն Քաղաքականություն Թուրքիա ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,https://arar.sci.am/dlibra/publication/352407/edition/324722
325765,353573,325765,Arab historiography on the Armenian genocide,"Hovhannisyan, Nikolay",Institute of Oriental Studies of NAS RA,,Yerevan,2005,2005,Book,Yerevan,Zangak-97,pdf,168 p.,,,en,,Armenian genocide Arab historiography ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,https://arar.sci.am/dlibra/publication/353573/edition/325765
363575,392916,363575,Aratta,"Movsisyan, Artak","Nat. Acad. of Sciences of Armenia, Inst. of Oriental Studies",,Istanbul,2001,2001,Book,Istanbul,Belge yayinlari,pdf,77 p.,"ill., map, 19 cm.",,turkish,,History of Armenia Ancient history,https://arar.sci.am/dlibra/publication/392916/edition/363575
324647,352327,324647,Cilician Armenia in the perceptions of adjacent political entities,"Bozoyan, A. A. ; Ter-Ghevondian, V. A. ; Shukurov, R. M. ; Danielyan, G. G.",Institute of Oriental Studies of NAS RA,Edited by A. A. Bozoyan ; Translated by A. Martirossyan,Yerevan,2019,2019,Book,Yerevan,"""Gitutyun""",pdf,282 p.,ill.,И II/116904 ; И II/116356 ; И II/116358,en ; hy,,History Cilicia Armenian Kingdom Churches,https://arar.sci.am/dlibra/publication/352327/edition/324647
332262,361043,332262,Der Völkermord an den Armeniern,"Howhannisjan, Nikolaj",Nationale Akademie der Wissenschaften Armeniens Institut für Orientalistik,Edt. W. B. Barchudarjan,Jerewan,2005,2005,Book,Jerewan,"""Sangak-97""",pdf,66 p.,,И II/112719,de,,Armenian massacres NAS RA Institute of Oriental Studies,https://arar.sci.am/dlibra/publication/361043/edition/332262
325835,353643,325835,Die Parthischen und sasanidischen Verwaltungsinstitutionen. Nach den literarischen und epigraphischen Quellen 3. Jh. v. Chr.-7. Jh. n. Chr,"Khurshudian, Eduard",Russischen Akademie der Wissenschaften Institut für Orientstudien,,Jerewan,1998,1998,Book,Jerewan,Verl. des Kaukasischen Zentrums für iranische Forschungen,pdf,324 p.,map,,ge ; ru,,Parthia History Parthians Politics and government PAW Institut für Orientstudien,https://arar.sci.am/dlibra/publication/353643/edition/325835
325841,353649,325841,"Ermeni Soykirimi Ermenikirim. Nedenler, eylem, sonuçlar","Hovhannisyan, Nikolay",,Com. Atilla Tuygan ; Translated by Hüseyin Yoldas,Turkey,2007,2007,Book,Turkey,Pencere Yayinlari,pdf,116 p.,maps,,tr,,History Armenian actors Armenian genocide,https://arar.sci.am/dlibra/publication/353649/edition/325841
363576,392917,363576,Formation of the Transcaucasian-Middle Eastern geopolitical region,"Hovhannisyan, Nikolay","Nat. Acad. of Sciences of Armenia, Inst. of Oriental Studies",,Yerevan,2000,2000,Book,Yerevan,NAS of Armenia,pdf,20 p.,21 cm,,en,,History Politics,https://arar.sci.am/dlibra/publication/392917/edition/363576
334632,364025,334632,International trade and the Armenian merchants in the Seventeenth century,"Baibourtian, Vahan",,,New Delhi,2004,2004,Book,New Delhi,Sterling Publishers,pdf,261 p.,maps,И II/114102,eng,,International trade NAS RA Institute of Oriental Studies,https://arar.sci.am/dlibra/publication/364025/edition/334632
342650,372548,342650,Le génocide Arménien,"Hovhannissian, Nikolay",Institute of Oriental Studies of NAS RA,Traduit de l'Arménien par Anahit Mesropian,Erévan,,,Book,Erévan,Zangak-97,pdf,62 p.,,И II/112718,en,,Armenian genocide,https://arar.sci.am/dlibra/publication/372548/edition/342650
334677,364105,334677,Nationalities of Armenia,,Institute of Oriental Studies of NAS RA,Edt. Nikolay Hovhannisyan ; Translated by Svetlanna Mardanyan,Yerevan,1999,1999,Book,Yerevan,Yegea,pdf,120 p.,,,en,,NAS RA Institute of Oriental Studies Minorities Armenia History,https://arar.sci.am/dlibra/publication/364105/edition/334677
359582,388729,359582,Sassanian coins of Armenia,"Khurshudian, Eduard ; Zohrabian, Armine",Nat. Acad. of Sciences of Armenia ; Inst. of Oriental Studies ; State Historical Museum of Armenia ; Department of Coins and Medal,Editor in chief Kalantaryan A. A. ; Translated by Tereza Pearce,Almaty,2002,2002,Book,Almaty,Desht-i Qypchaq,pdf,173 p.,,И II/111820,en,,History Museum of History Coins,https://arar.sci.am/dlibra/publication/388729/edition/359582
342773,372550,342773,The Armenian Genocide,"Hovahannisyan, Nikolay",Institute of Oriental Studies of NAS RA,V. B. Barkhudaryan ; Trl. from Armenian by Svetlana Mardaryan,Yerevan,2002,2002,Book,Yerevan,Zangak-97,pdf,103 p.,,И II/110911 ; И II/112570 ; И II/116912,fr,,History Turkey Armenian genocide Armenian question,https://arar.sci.am/dlibra/publication/372550/edition/342773
340957,370732,340957,The foreign policy of the Republic of Armenia in the Transcaucasian-Middle Eastern geopolitical region,"Hovannisyan, Nikolay",Institute of Oriental Studies of NAS RA,,Yerevan,1998,1998,Book,Yerevan,Noyan Tapan,pdf,108 p.,,ИII/117087,en,,Political science,https://arar.sci.am/dlibra/publication/370732/edition/340957
340990,370767,340990,The Karabakh problem,"Hovhannisyan, Nikolay",Institute of Oriental Studies of NAS RA,,Yerevan,2004,2004,Book,Yerevan,Zangak-97,pdf,147 p.,"ill., map.",ИII/116916,en,,Nagorno-Karabakh History,https://arar.sci.am/dlibra/publication/370767/edition/340990
325845,353653,325845,The Karabakh problem. The thorny road to freedom and independence,"Hovhannisyan, Nikolay",Institute of Oriental Studies of NAS RA,,Yerevan,2004,2004,Book,Yerevan,Zangak-97,pdf,147 p.,,И II/116916,en,,NAS RA Institute of Oriental Studies Nagorno-Karabakh History,https://arar.sci.am/dlibra/publication/353653/edition/325845
340976,370751,340976,The sacred highlands,"Movsisyan, Artak",Institute of Oriental Studies of NAS RA,Ed. Laura G. Manoukian,Yerevan,2004,2004,Book,Yerevan,,pdf,75 p.,ill.,ИII/116791,en,,History of Armenia Geography,https://arar.sci.am/dlibra/publication/370751/edition/340976
366819,396429,366819,Understanding The Dynamics Of The Belt And Road Initiative։ The MainTrends,,,,Yerevan,2023,2023,Book,Yerevan,Institute of Oriental Studies NAS RA,pdf,35 p.,,,en,,China-Georgia Relations China-Armenia Geopolitics,https://arar.sci.am/dlibra/publication/396429/edition/366819
325934,353751,325934,VII.-X. Yüzyıllarda Kürtler,"Poladyan, Arşak",,Translated by Mehmet Demir,Ankara,1991,1991,Book,Ankara,Öz-Ge,pdf,112 p.,,,tu,Text in Turkish,NAS RA Institute of Oriental Studies History Kurds,https://arar.sci.am/dlibra/publication/353751/edition/325934
324742,352442,324742,Албания-Алуанк в греко-латинских и древнеармянских источниках,"Акопян, Алексан Акопович",АН АрмССР. Институт востоковедения,Отв. ред. П. М. Мурадян,Ереван,1987,1987,Книга,Ереван,Изд-во АН АрмССР,pdf,304 с.,карт.,PII/582132,ru,,История НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/352442/edition/324742
362913,392293,362913,Армения и Сасанидский Иран,"Хуршудян, Эдуард",НАН РА Институт востоковедения,Отв. ред. Калантарян А. А.,Алматы,2003,2003,Книга,Алматы,"""Print-S""",pdf,474 с.,ил.,PII/650578,ru,,История Историко-культурологическое исследование Армения Иран,https://arar.sci.am/dlibra/publication/392293/edition/362913
320699,348074,320699,Армяне в странах Арабского Востока на современном этапе,"Тер-Мкртичян, Л. Х.",АН АрмССР. Сектор востоковедения ; АН АрмССР. Институт народов Азии,,Москва,1965,1965,Книга,Москва,Наука,pdf,60 с.,4 л. ил.,Иоан/1122,ru,,НАН РА Институт востоковедения История армянского народа Армяно-арабские отношения,https://arar.sci.am/dlibra/publication/348074/edition/320699
320702,348076,320702,Армянская колония Новой Джульфы в XVII веке,"Байбуртян, В. А.",АН АрмССР. Сектор востоковедения,,Ереван,1969,1969,Книга,Ереван,Изд-во АН АрмССР,pdf,168 с.,,PII/509645,ru,,НАН РА Институт востоковедения Экономика Новая Джульфа История,https://arar.sci.am/dlibra/publication/348076/edition/320702
325477,353291,325477,Армянская эпиграфика Грузии. Тбилиси,"Мурадян, П. М.",Институт востоковедения АН АрмССР,,Ереван,1988,1988,Книга,Ереван,Изд-во АН АрмССР,pdf,136 с.,,PII/587165,ru,,Армянская эпиграфика Армяно-грузинские культурные связи НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/353291/edition/325477
320918,348302,320918,Армянские источники XVIII в. об Индии,"Абрамян, Р. А.",АН АрмССР. Сектор востоковедения,,Ереван,1968,1968,Книга,Ереван,Изд-во АН АрмССР,pdf,296 с.,,PII/400080,ru,,Источниковедение История Индия НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/348302/edition/320918
325766,353574,325766,Ахбар Ал-Булдан. (Известия о странах),Ибн ал-Факих,АН АрмССР. Институт востоковедения,"Введение, перев. и коммент. А. С. Жамкочяна",Ереван,1979,1979,Книга,Ереван,,pdf,320 с.,,PII/490009,ru,,История Источниковедение Востоковедение НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/353574/edition/325766
332253,361024,332253,Библиографиа к՛т՛ебед к՛öрдиейә советие (салед 1921-1960),,,Կազմ.՝ Ն. Ա. Ալեքսանյան,Երևան,1962,1962,Գիրք,Երևան,ՀՍՍՌ ԳԱ հրատ․,pdf,124 էջ,,PII/541745,ku (kurdish) ; hy ; ru,,Քրդերեն գրքեր Բիբլիոգրաֆիա,https://arar.sci.am/dlibra/publication/361024/edition/332253
325482,353302,325482,Большевики и младотурки. Новые документы о российско-турецких отношениях (1920-1922 гг.),"Казанджян, Рем",Институт востоковедения НАН РА ; Институт востоковедения РАН,,Москва,1996,1996,,Москва,,,25 с.,,PII/643799,hy,,НАН РА Институт востоковедения История Российско-турецкие отношения,https://arar.sci.am/dlibra/publication/353302/edition/325482
320791,348169,320791,Буржуазия Османской империи,Инджикян О. Г.,АН АрмССР. Институт востоковедения,,Ереван,1977,1977,Книга,Ереван,Изд-во АН АрмССР,pdf,314 с.,ил.,РII/399555,ru,,Османская империя НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/348169/edition/320791
342985,372631,342985,Вновь идентифицированные и неопубликованные фрагменты арабских версий Самаритянского Пятикнижия из собрания Российской национальной библиотеки - СПб.,"Жамкочян, А. С.",АН АрмССР. Институт востоковедения,Под. ред. В. В. Наумкина,Москва,2001,2001,Книга,Москва,,pdf,214 с.,,,ru,,Самаритянское Пятикнижие Рукописи,https://arar.sci.am/dlibra/publication/372631/edition/342985
342997,372644,342997,Внутренняя политика Турции в годы второй мировой войны,"Кондакчян, Р. П.",АН АрмССР. Институт востоковедения,,Ереван,1978,1978,Книга,Ереван,Изд-во АН АрмССР,pdf,244 с.,,PII/407263 ; PII/418750 ; РII/414615,ru,,Вторая мировая война Политика Турция,https://arar.sci.am/dlibra/publication/372644/edition/342997
342322,372331,342322,Востоковедные центры в СССР,,Академия наук СССР. Институт востоковедения,Отв. ред. А. П. Базиянц,Москва,1988,1988,Книга,Москва,''Наука'',pdf,128 с.,,PII/617688,ru,,Востоковедение,https://arar.sci.am/dlibra/publication/372331/edition/342322
334567,364019,334567,Геноцид армян,"Оганесян, Николай",НАН РА Институт востоковедения,Ред. В. А. Бархударян,Ереван,2005,2005,Книга,Ереван,Зангак-97,pdf,63 с.,,PII/651273,ru,,История армянского народа НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/364019/edition/334567
364341,393859,364341,Германский империализм на Ближнем Востоке,"Аветян, А. С.",,,Москва,1968,1968,Книга,Москва,Издательство „Международные отношения“,pdf,152 с.,,,ru,,История Ближний Восток,https://arar.sci.am/dlibra/publication/393859/edition/364341
321587,349135,321587,"""Джихан-Нюма"" и ""Фезлеке"" Кятиба Челеби как источник по истории Армении (XVII в.)",,АН АрмССР. Институт востоковедения,"Предисл., пер. и коммент. А. А. Папазян",Ереван,1973,1973,Книга,Ереван,Изд-во АН АрмССР,pdf,192 с.,ил.,PII/316924 ; PII/317026,ru,,История География НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/349135/edition/321587
325834,353642,325834,Древнейшие фрагменты арабо-самаритянских хроник из собрания Российской национальной библиотеки,"Жамкочян, Арутюн С.",НАН РА Институт востоковедения ; РАН Институт востоковедения,,Москва,2003,2003,Книга,Москва,МИФИ,pdf,220 с.,,,ru,,Религия Библия Самаритянская культура НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/353642/edition/325834
325829,353637,325829,"Древний Восток, 1",,АН АрмССР. Институт востоковедения ; АН АмССР. Институт истории ; АН АмССР. Институт археологии и этнографии,Редкол. И. М. Дьконов,Ереван,1973,1973,Книга,Ереван,Изд-во АН АрмССР,pdf,243 с.,,PII/319738,ru,,История Древний Восток НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/353637/edition/325829
321088,348502,321088,"Древний Восток, 2",,АН АрмССР. Институт востоковедения,Редкол. Н. В. Арутюнян и др.,Ереван,1976,1976,Книга,Ереван,Изд-во АН АрмССР,pdf,312 с.,,PII/371261 ; PII/373826,ru,,История Древний Восток НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/348502/edition/321088
324764,352464,324764,"Древний Восток, 3",,АН АрмССР. Институт востоковедения,Редкол. Н. В. Арутюнян и др.,Ереван,1978,1978,Книга,Ереван,Изд-во АН АрмССР,pdf,284 с.,,PII/424134,ru ; en,,История Древний Восток НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/352464/edition/324764
324765,352465,324765,"Древний Восток, 4",,АН АрмССР. Институт востоковедения,Редкол. Н. В. Арутюнян и др.,Ереван,1983,1983,Книга,Ереван,Изд-во АН АрмССР,pdf,316 с.,ил.,PII/507270,ru ; en,,История Древний Восток НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/352465/edition/324765
325484,353309,325484,"Древний Восток, 5",,АН АрмССР. Институт востоковедения,,Ереван,1988,1988,Книга,Ереван,Изд-во АН АрмССР,pdf,249 с.,,PII/584953,ru,,История Древний Восток НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/353309/edition/325484
342828,372557,342828,Запготьна к’öрде суриане поэзиа,,Институт востоковедения АН АрмССР,Сост. Шəлиле Щəлил ; Ред. Аджие Джиди,Ереван,1985,1985,Книга,Ереван,Изд-во АН АрмССР,pdf,338 с.,,AII/72467,ku (kurdish),,,https://arar.sci.am/dlibra/publication/372557/edition/342828
342863,372562,342863,Змане К' öрди литература,"Хəмон, Максиме",Институт востоковедения АН АрмССР,,Ереван,1990,1990,Книга,Ереван,"""Луйс""",pdf,208 с.,23 см.,PII/617571,ku (kurdish),,Литература Курдский язык Учебное пособие,https://arar.sci.am/dlibra/publication/372562/edition/342863
325917,353732,325917,Идея конфессиональной толерантности и межнационального согласия в армянской книжности XII-XIII веков,"Мурадян, П. М.",НАН РА Институт востоковедения,,Ереван,1997,1997,Книга,Ереван,,pdf,16 с.,илл.,,ru,,НАН РА Институт востоковедения История Армения,https://arar.sci.am/dlibra/publication/353732/edition/325917
364343,393860,364343,Из истории армяно-казахстанских отношений,"Хуршудян, Эдуард ; Муканова, Дана",Армянское общество культурных связей с зарубежными странами армяно-казахстанское общество дружбы и сотрудничества,,Ереван,1999,1999,Книга,Ереван,,pdf,385 с.,,,ru,,История,https://arar.sci.am/dlibra/publication/393860/edition/364343
367743,397483,367743,"Искажения истории Армении, Кавказской Албании и Азербайджана в азербайджанской историографии","Айвазян, Г. Г.",,,Ереван,2024,2024,Գիրք,Ереван,«Лусакн»,pdf,228 с.,,,,"Посвящается светлой памяти научного руководителя автора, доктора исторических наук, профессора, члена-корреспондента НАН РА Бабкена Арутюновича Арутюняна",,https://arar.sci.am/dlibra/publication/397483/edition/367743
362918,392298,362918,Ислам в политической жизни стран современного Ближнего и Среднего Востока,,АН АрмССР Институт востоковедения,Отв. ред. Н. О. Оганесян,Ереван,1986,1986,Книга,Ереван,Изд-во АН АрмССР,pdf,232 с.,21 см,PII/564475 ; PII/567248 ; PII/567249 ; PII/567250,ru,,Востоковедение Религия Ислам,https://arar.sci.am/dlibra/publication/392298/edition/362918
325922,353738,325922,Ислам и арабский национализм в западной историографии (1950-1980 гг.),"Вагаршян, В. Л.",АН Армении. Институт востоковедения,,Ереван,1991,1991,Книга,Ереван,Изд-во АН Армении,pdf,155 с.,,PII/639052,ru,,НАН РА Институт востоковедения Религия Ислам,https://arar.sci.am/dlibra/publication/353738/edition/325922
325923,353739,325923,История - память поколений. Проблемы истории Нагорного Карабаха,"Мурадян, Паруйр",,Отв. ред. Г. Х. Саркисян,Ереван,1990,1990,Книга,Ереван,Айастан,pdf,160 с.,,PII/630496,ru,,НАН РА Институт востоковедения Нагорный Карабах История,https://arar.sci.am/dlibra/publication/353739/edition/325923
321147,348591,321147,"Кавказ и Византия, 1",,АН АрмССР. Институт востоковедения,Редкол. С. Т. Еремян и др.,Ереван,1979,1979,Книга,Ереван,Изд-во АН АрмССР,pdf,248 с.,ил. ; карт.,П/6588,ru ; hy,,История Кавказ Византия НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/348591/edition/321147
321148,348593,321148,"Кавказ и Византия, 2",,АН АрмССР. Институт востоковедения,Редкол. С. Т. Еремян и др.,Ереван,1980,1980,Книга,Ереван,Изд-во АН АрмССР,pdf,244 с.,ил.,П/6588,ru ; hy,,История Кавказ Византия НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/348593/edition/321148
321149,348595,321149,"Кавказ и Византия, 3",,АН АрмССР. Институт востоковедения,Редкол. С. Т. Еремян и др.,Ереван,1982,1982,Книга,Ереван,Изд-во АН АрмССР,pdf,271 с.,ил.,П/6588,ru ; hy,,История Кавказ Византия НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/348595/edition/321149
321150,348598,321150,"Кавказ и Византия, 4",,АН АрмССР. Институт востоковедения,Редкол. С. Т. Еремян и др.,Ереван,1984,1984,Книга,Ереван,Изд-во АН АрмССР,pdf,237 с.,ил.,П/6588,ru ; hy,,История Кавказ Византия НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/348598/edition/321150
321151,348599,321151,"Кавказ и Византия, 5",,АН АрмССР. Институт востоковедения,Редкол. С. Т. Еремян и др.,Ереван,1987,1987,Книга,Ереван,Изд-во АН АрмССР,pdf,257 с.,,П/6588,ru ; hy,,История Кавказ Византия НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/348599/edition/321151
321152,348600,321152,"Кавказ и Византия, 6",,АН АрмССР. Институт востоковедения,Редкол. С. Т. Еремян и др.,Ереван,1988,1988,Книга,Ереван,Изд-во АН АрмССР,pdf,293 с.,,П/6588,ru ; hy,,История Кавказ Византия НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/348600/edition/321152
325929,353745,325929,Карабахский конфликт. Этапы. Подходы. Варианты решения,"Оганесян, Николай",Институт востоковедения НАН РА ; Университет Мериленда. Колледж парк (США) центр междунар. развития и упр. конфликтами,,Ереван,1997,1997,Книга,Ереван,,pdf,80 c.,,РII/643695,ru,,НАН РА Институт востоковедения История Карабахский конфликт,https://arar.sci.am/dlibra/publication/353745/edition/325929
325930,353747,325930,Корпус арабских надписей Армении VIII - XVI вв.,"Хачатрян, Александр Арутюнович",АН АрмССР. Институт востоковедения,,Ереван,1987,1987,Книга,Ереван,Изд-во АН АрмССР,pdf,235 с.,,PIII/56743,ru,,НАН РА Институт востоковедения Археология Армения Археологические памятники,https://arar.sci.am/dlibra/publication/353747/edition/325930
363590,392934,363590,Корпус урартских клинообразных надписей,"Арутюнян, Н. В.",НАН РА. Инстититут востоковедения,Отв. ред. М. Л. Хачикян,Ереван,2001,2001,Книга,Ереван,Изд-во «Гитутюн» НАН РА,pdf,542 с,,PIII/60274,ru,,История Армении Надписи,https://arar.sci.am/dlibra/publication/392934/edition/363590
325928,353744,325928,К предыстории самоопределения Нагорного Карабаха,"Казанджян, Рем Врамович",НАН РА Институт востоковедения,,Москва,1997,1997,Книга,Москва,,pdf,53 с.,,PII/643796,ru,,НАН РА Институт востоковедения Нагорный Карабах История,https://arar.sci.am/dlibra/publication/353744/edition/325928
325932,353749,325932,Курдский национальный вопрос в Ираке в новейшее время,"Мгои, Ш. Х.",АН АрмССР. Институт востоковедения,,Москва,1991,1991,Книга,Москва,Наука,pdf,324 с.,,PII/630408,ru,,НАН РА Институт востоковедения Курдский вопрос Курды в Ираке История,https://arar.sci.am/dlibra/publication/353749/edition/325932
325919,353735,325919,Курдско-русский словарь,"Орбели, Иосиф",,,Ереван,2002,2002,Книга,Ереван,Зангак-97,pdf,208 с.,,,ru,,НАН РА Институт востоковедения История Кавказ Эпиграфика,https://arar.sci.am/dlibra/publication/353735/edition/325919
342919,372563,342919,Курды в VII-X веках,"Поладян, Аршак",Институт востоковедения АН АрмССР,,Ереван,1987,1987,Книга,Ереван,Изд-во АН АрмССР,pdf,130 с.,20 см.,PII/573273,ku (kurdish),,История История курдов Ислам Курдоведения,https://arar.sci.am/dlibra/publication/372563/edition/342919
321165,348614,321165,Курды Советской Армении. Исторический очерк (1920-1940),Чатоев Халит Мурадович,АН АрмССР. Сектор востоковедения,,Ереван,1965,1965,Книга,Ереван,Изд-во АН АрмССР,pdf,154 с.,ил. ; табл.,,ru,,Курды Армения НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/348614/edition/321165
334636,364029,334636,Лувийские царства Малой Азии и прилегающих областей в XII-VIII вв. до н. э. (по иероглифическим лувийским источникам),"Косян, А. В.",История Древнего Востока,,Ереван,1994,1994,Книга,Ереван,Гитутюн,pdf,150 с.,,PII/638927,ru,,НАН РА Институт востоковедения История Древнего Востока,https://arar.sci.am/dlibra/publication/364029/edition/334636
334646,364073,334646,Материалы к этимологическому словарю древнеармянского языка,Периханян А. Г.,Институт востоковедения НАН РА,,Ереван,1993,1993,Книга,Ереван,Изд-во НАН РА,pdf,144 с.,,,ru,,НАН РА Институт востоковедения Языкознание Древнеармянский язык,https://arar.sci.am/dlibra/publication/364073/edition/334646
325918,353734,325918,Материалы экспедиции 1911-1912 гг. По этнографии и фольклору Моска. Словарь наречия Моска. Проблемы градостроительства и архитектуры средневековой Армении,"Орбели, Иосиф",,Сост. и ред. П. М. Мурадян,Ереван,2002,2002,Книга,Ереван,Гитутюн,pdf,"XVI, 456 с.",,,ru,,НАН РА Институт востоковедения История Кавказ Эпиграфика,https://arar.sci.am/dlibra/publication/353734/edition/325918
321208,348667,321208,Международные отношения Ирана в 1813-1828 гг.,"Балаян, Б. П.",АН АрмССР. Сектор востоковедения,,Ереван,1967,1967,Книга,Ереван,Изд-во АН АрмССР,pdf,295 с.,,PII/350808 ; PII/350809,ru,,НАН РА Институт востоковедения Международные отношения История Иран,https://arar.sci.am/dlibra/publication/348667/edition/321208
334671,364098,334671,Национально-освободительное движение в Ираке (1917-1958 гг.),"Оганесян, Н.О.",АН АрмССР. Институт востоковедения,,Ереван,1976,1976,Книга,Ереван,Изд-во АН АрмССР,pdf,394 с.,,PII/376515,ru,,НАН РА Институт востоковедения Политика История Ирак,https://arar.sci.am/dlibra/publication/364098/edition/334671
334675,364103,334675,Национальности Армении,,Центр по решению конфликтов Армении. Союз национальностей Армении,Ред. Косян А. В. ; Оганесян Н. О. ; Чатоев В. Х.,Ереван,1998,1998,Книга,Ереван,,pdf,132 с.,,PII/649985,ru,,НАН РА Институт востоковедения Этнография Армения,https://arar.sci.am/dlibra/publication/364103/edition/334675
334680,364113,334680,Неопубликованные фрагменты арабских версий Самаритянского Пятикнижия из собрания Российской национальной библиотеки,"Жамкочян, А. С.",НАН РА Институт востоковедения ; РАН Институт востоковедения,,Москва,1996,1996,Книга,Москва,,pdf,214 с.,,,ru,,НАН РА Институт востоковедения Самаритянское Пятикнижие,https://arar.sci.am/dlibra/publication/364113/edition/334680
365266,394834,365266,Новая история Армении в трудах современных зарубежных авторов,"Саакян, Р. Г. ; Махмурян, Г. Г. ; Оганесян, Н. О. ; Манучарян, А. Л.",Институт востоковедения НАН Армении,Отв. ред. Р. Г. Саакян,Ереван,1993,1993,Գիրք,Ереван,Изд-во НАН Армении,pdf,287 с,22 см,PII/638775,ru,,История Армении Новая история,https://arar.sci.am/dlibra/publication/394834/edition/365266
321498,349083,321498,Образование независимой Сирийской республики (1939-1946),"Оганесян, Николай Оганесович",АН АмССР. Сектор востоковедения,,Москва,1968,1968,Книга,Москва,Наука,pdf,116 с.,,,ru,,НАН РА Институт востоковедения История Сирия,https://arar.sci.am/dlibra/publication/349083/edition/321498
341223,370787,341223,Орфографический словарь,"Авдал, Амине",АН АрмССР. Институт востоковедения,,Ереван,1958,1958,Книга,Ереван,Изд-во АН АрмССР,pdf,214 с.,,PII/541766 ; PII/541767,ku (kurdish),,Орфографический словарь Курдский язык,https://arar.sci.am/dlibra/publication/370787/edition/341223
336821,365862,336821,Основы фразеологии курдского языка,"Хамоян, Максим Усейнович",АН АрмССР. Институт востоковедения,,Ереван,1988,1988,Книга,Ереван,Изд-во АН АрмССР,pdf,280 с.,,PII/583983,ru,,Фразеология НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/365862/edition/336821
336892,365890,336892,Отглагольные имена в среднеперсидском и парфянском. (На материале турфанских текстов),"Асатрян, Гарник Серобович",АН АрмССР. Институт востоковедения,,Ереван,1989,1989,Книга,Ереван,Изд-во АН АрмССР,pdf,127 с.,,PII/604723,ru,,Грамматика Словообразование в иранских языках древних НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/365890/edition/336892
334729,364202,334729,Очерки именной фразеологии курдского языка,"Хамоян, М.У.",Ереванский государственный универстет. Кафедра восточной филологии,,Ереван,1971,1971,Книга,Ереван,ЕГУ,pdf,100 с.,,PII/303880,ru,,НАН РА Институт востоковедения Курдский язык,https://arar.sci.am/dlibra/publication/364202/edition/334729
337064,365992,337064,Позиция Сирии в ближневосточном конфликте,"Григорян, Генрих Мамиконович",АН АрмССР. Институт востоковедения,,Ереван,1989,1989,Книга,,Изд-во АН АрмССР,pdf,193 с.,,PII/622650,ru,,Политические знания Политика НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/365992/edition/337064
337058,365936,337058,Политика империалистических держав на Арабском Востоке в годы второй мировой войны: (1939 - 1945 гг.),"Оганесян, Николай Оганесович",АН АрмССР. Институт востоковедения,Отв. ред. Е. А. Лебедев,Ереван,1980,1980,Книга,Ереван,Изд-во АН АрмССР,pdf,263 с.,,PII/449695,ru,,История НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/365936/edition/337058
321629,349179,321629,Политика Османского правительства в Западной Армении и державы в последней четверти XIX и начале XX вв.,"Саркисян, Ерванд Казарович",АН АрмССР. Институт востоковедения,Отв. ред. О. Г. Инджикян,Ереван,1972,1972,Книга,Ереван,Изд-во АН АрмССР,pdf,330 с.,табл.,PII/300508 ; PII/300509,ru,,История НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/349179/edition/321629
321632,349182,321632,Проблема накопления капитала в Ираке (1958-1975),"Аветисян, Левон Варосович",АН АрмССР. Институт востоковедения,Отв. ред. О. Н. Андреасян,Ереван,1977,1977,Книга,Ереван,Изд-во АН АрмССР,pdf,173 с.,ил.,PII/405078 ; РII/414457,ru,,Экономика НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/349182/edition/321632
